2.7677896746479248E10;p
2.7677897002481445E10;u
2.767789711348242E10;r
2.767789731348413E10;d
2.767789747348535E10;u
2.7677897617486572E10;e
2.76778991885E10; 
2.7677899593503418E10;p
2.767789981850537E10;u
2.7677899993506836E10;r
2.7677900193508545E10;d
2.7677900386510254E10;u
2.767790064251245E10;e
2.7677900882514404E10; 
2.767790105751587E10;p
2.7677901234517334E10;u
2.7677901370518555E10;r
2.7677901570520264E10;d
2.767790169052124E10;u
2.7677901907523193E10;e
2.767790208952466E10; 
2.767790224252588E10;p
2.7677902353526855E10;u
2.7677902491528076E10;r
2.767790270753003E10;d
2.7677902841531006E10;u
2.7677902978532227E10;e
2.767790314653369E10; 
2.7677903298534912E10;p
2.7677903434536133E10;u
2.7677903585537354E10;r
2.7677903794539062E10;d
2.7677903914540283E10;u
2.7677904057541504E10;e
2.7677904158542236E10; 
2.76779043305437E10;p
2.7677904431544678E10;u
2.76779045865459E10;r
2.7677904769547363E10;d
2.767790488954834E10;u
2.767790503354956E10;e
2.767790517755078E10; 
2.7677905305552002E10;p
2.767790542855298E10;u
2.767790592255713E10;r
2.7677906234559814E10;d
2.7677906370561035E10;u
2.76779065295625E10;e
2.7677906642563232E10; 
2.7677906785564453E10;p
2.7677906938565918E10;u
2.767790703856665E10;r
2.7677907273568604E10;d
2.767790738656958E10;u
2.76779075295708E10;e
2.767790765057202E10; 
2.7677907786572998E10;p
2.7677907888573975E10;u
2.7677908026575195E10;r
2.767790834657788E10;d
2.7677908458578857E10;u
2.767790861858008E10;e
2.76779087625813E10; 
2.767790889758252E10;p
2.7677909010583496E10;u
2.7677909169584717E10;r
2.767790958758838E10;d
2.7677909706589355E10;u
2.767790986559082E10;e
2.7677909967591553E10; 
2.767791008159253E10;p
2.7677910183593506E10;u
2.7677910338594727E10;r
2.7677910666597412E10;d
2.767791076759839E10;u
2.767791090659961E10;e
2.7677911363603516E10;e
2.7677925611724365E10;t
2.767792572272534E10;e
2.767792582272632E10;s
2.767792592572705E10;t
2.7677926146729004E10; 
2.7677926338730713E10;t
2.767792644673169E10;e
2.767792654773242E10;s
2.76779266487334E10;t
2.7677926771734375E10; 
2.7677926986736084E10;t
2.767792708673706E10;e
2.7677927188737793E10;s
2.767792729073877E10;t
2.7677927410739746E10; 
2.7677927610741455E10;t
2.767792771474243E10;e
2.7677927817743164E10;s
2.767792791774414E10;t
2.7677928018744873E10; 
2.7677928153746094E10;t
2.7677928254746826E10;e
2.7677928355747803E10;s
2.7677928455748535E10;t
2.767792855774951E10; 
2.7677928714750732E10;t
2.767792881575171E10;e
2.767792891675244E10;s
2.7677929017753418E10;t
2.767792911875415E10; 
2.767792924175537E10;t
2.7677929342756104E10;e
2.767792944475708E10;s
2.7677929544757812E10;t
2.767792964675879E10; 
2.7677929770759766E10;t
2.7677929872760742E10;e
2.7677929972761475E10;s
2.767793007276245E10;t
2.7677930173763184E10; 
2.767793032976465E10;t
2.767793043076538E10;e
2.7677930531766357E10;s
2.767793063376709E10;t
2.7677930733768066E10; 
2.7677930890769287E10;t
2.7677930991770264E10;e
2.7677931091770996E10;s
2.7677931193771973E10;t
2.767793130677295E10; 
2.767793146577417E10;t
2.7677931566775146E10;e
2.767793166877588E10;s
2.7677931769776855E10;t
2.7677931915778076E10; 
2.7677932050779053E10;t
2.7677932169780273E10;e
2.767793234678174E10;s
